Media,Desvio,3oMom,Uniformidade,Entropia,Constraste,Classe
111.7,36.06,89630.73,149.16,6.63,174.05,0
74.27,22.23,24240.16,83.5,6.22,116.35,0
104.48,14.79,895.96,217.03,5.92,69.67,0
113.77,50.41,105049.01,74.07,7.38,366.22,0
104.13,11.95,-43.32,269.07,5.62,69.31,0
115.32,64.03,228621.75,178.75,6.94,150.49,0
120.28,23.84,7243.74,182.94,6.58,204.52,0
90.61,33.94,62981.27,74.98,6.79,143.42,0
169.04,29.46,-9239.15,303.95,6.89,330.04,0
114.18,22.21,11081.83,200.65,6.35,105.43,0
83.94,29.94,43007.43,73.81,6.63,156.58,0
151.07,36.91,21917.9,168.47,7.15,170.51,0
135.24,46.09,50204.32,111.17,7.43,368.83,0
182.72,32.13,-10681.7,305.22,7.01,427.51,0
123.76,53.73,167082.06,179.97,6.96,193.01,0
170.12,31.61,4155.45,258.7,6.99,413.38,0
174.26,23.1,3016.91,421.02,6.5,230.66,0
153.83,42.72,6871.88,161.41,7.4,416.37,0
132.16,70.9,112905.71,289.74,7.08,163.12,0
147.39,35.34,19589.17,171.6,7.09,247.32,0
96.65,41.33,98676.06,72.13,7.07,237.12,1
71.41,34.29,68685.54,46.29,6.79,188.73,1
75.98,61.98,383579.63,71.67,6.59,118.42,1
100.85,29.05,25575.05,101.28,6.79,289.17,1
93.42,35.54,76710.78,81.8,6.86,248.11,1
96.58,27.44,29250.25,103.79,6.6,104.0,1
146.29,45.96,66552.86,190.35,7.18,224.1,1
84.29,41.23,107799.4,53.84,6.95,157.99,1
73.37,42.38,171127.9,51.75,6.6,106.35,1
85.1,34.85,76325.14,77.16,6.64,157.66,1
107.38,62.08,227891.8,113.22,7.09,183.44,1
89.95,27.74,29525.85,96.09,6.62,126.42,1
112.4,27.44,12685.41,139.17,6.76,223.9,1
108.88,39.71,77626.48,95.66,7.04,192.91,1
94.78,52.11,196875.75,71.06,7.04,185.48,1
77.97,53.84,271610.52,59.64,6.6,157.13,1
109.33,31.04,37931.83,117.81,6.81,232.39,1
87.75,36.78,88443.25,68.25,6.81,165.77,1
96.46,62.89,295583.67,103.68,7.0,207.16,1
74.3,32.16,62803.14,54.38,6.66,136.07,1
