Media,Desvio,3oMom,Uniformidade,Entropia,Constraste,Classe
78.26,42.52,179696.4,72.49,6.63,206.12,0
46.2,22.19,32891.3,33.08,6.13,112.23,0
62.64,15.25,477.27,78.11,5.96,62.91,0
86.96,54.54,182816.45,40.49,7.35,419.97,0
61.34,13.0,-347.55,88.35,5.73,63.34,0
93.67,73.29,409631.8,187.02,6.79,174.01,0
73.77,25.65,13879.18,65.52,6.64,213.68,0
64.63,34.01,87913.19,40.95,6.61,164.86,0
129.81,36.77,-3933.77,144.85,7.21,403.11,0
75.18,24.48,17117.37,83.83,6.44,110.2,0
59.4,28.62,50605.76,41.24,6.48,164.8,0
119.62,44.71,68151.35,88.64,7.35,214.63,0
97.82,53.54,143420.42,52.56,7.49,450.57,0
151.84,40.53,-12685.37,169.26,7.35,508.86,0
94.29,65.15,351987.5,139.66,6.95,223.23,0
133.63,41.04,19815.6,123.2,7.35,502.68,0
142.09,28.89,11867.24,239.85,6.76,259.26,0
117.49,51.94,64768.42,79.75,7.61,534.95,0
113.11,80.46,239720.02,296.92,7.05,206.98,0
112.47,42.51,51182.35,82.57,7.31,329.6,0
56.59,45.8,194676.19,23.26,6.9,237.12,1
34.47,33.36,95205.06,10.37,6.3,180.25,1
49.82,69.43,605224.21,61.21,6.13,137.32,1
49.42,30.34,52496.48,22.89,6.64,307.22,1
51.74,39.36,160468.76,24.82,6.63,233.53,1
47.34,28.81,53927.17,23.65,6.41,103.92,1
102.08,61.92,246399.23,111.17,7.33,263.67,1
45.08,44.7,191356.18,13.21,6.59,161.11,1
41.89,46.65,276668.51,15.69,6.41,124.7,1
41.37,37.36,124553.18,15.53,6.37,161.98,1
73.76,74.04,465589.84,75.16,6.9,211.88,1
41.8,28.81,56318.01,19.54,6.37,123.89,1
60.55,29.27,34451.63,37.97,6.73,232.21,1
64.95,46.83,179981.51,27.81,6.97,218.99,1
58.4,61.26,403469.52,41.83,6.74,198.0,1
47.07,60.51,444785.19,24.83,6.25,169.41,1
58.27,35.07,85969.17,29.73,6.76,247.05,1
49.21,40.01,151997.97,18.73,6.66,171.22,1
65.27,73.88,568967.73,90.23,6.66,250.1,1
36.29,32.9,99381.25,12.11,6.32,127.19,1
