Media,Desvio,3oMom,Uniformidade,Entropia,Constraste,Classe
179.33,33.42,-22018.0,371.04,6.93,275.08,0
151.99,36.99,-5323.75,188.08,7.23,339.01,0
151.88,27.61,-15115.91,293.75,6.74,142.42,0
175.51,47.97,-43139.27,227.44,7.47,524.75,0
150.46,23.08,-8496.17,348.11,6.44,133.89,0
182.68,41.51,-6434.91,367.72,7.07,231.69,0
147.28,31.81,-17938.04,248.67,6.93,306.6,0
179.12,34.01,-6806.07,277.02,7.1,331.72,0
166.61,36.14,-35402.31,271.85,7.12,418.63,0
168.25,30.5,-32525.12,429.18,6.69,186.71,0
177.55,34.61,-18166.32,287.22,7.11,337.8,0
195.47,30.76,-12316.33,372.89,6.91,206.98,0
162.21,43.2,-7789.22,184.35,7.41,467.16,0
188.19,35.7,-33487.51,317.8,7.11,512.01,0
181.8,43.57,-26493.97,323.38,7.21,312.3,0
175.05,39.45,-28937.48,248.09,7.27,542.26,0
189.89,25.92,-17410.99,513.04,6.57,259.62,0
179.36,42.55,-63260.02,265.07,7.31,519.16,0
189.56,46.8,-40917.6,512.71,7.09,214.61,0
189.31,33.35,-29957.51,361.64,6.99,324.37,0
119.12,50.15,55589.8,82.4,7.56,419.69,1
92.35,43.7,82889.56,52.86,7.29,302.09,1
100.58,64.96,301475.77,84.54,7.19,207.28,1
92.26,37.67,47544.47,61.99,7.15,470.54,1
110.01,42.27,61684.5,85.16,7.29,393.47,1
90.8,34.32,45517.39,66.96,6.95,154.5,1
127.86,56.9,126311.11,142.66,7.44,295.51,1
91.68,50.4,154428.16,46.84,7.32,288.83,1
113.19,50.45,97871.9,70.5,7.49,208.42,1
98.19,41.81,86455.15,67.13,7.18,262.01,1
119.49,66.04,180851.46,121.83,7.51,291.41,1
99.15,35.09,46627.42,82.11,7.03,206.25,1
106.03,37.3,20318.56,88.86,7.21,339.68,1
130.35,43.33,53571.45,113.31,7.35,281.72,1
106.04,58.12,186239.44,76.3,7.43,307.88,1
103.16,58.53,242058.54,75.54,7.16,282.45,1
103.25,38.33,50331.74,78.57,7.18,350.0,1
118.89,44.11,56918.1,88.61,7.41,313.77,1
118.76,65.44,215552.6,133.05,7.43,356.54,1
97.6,41.41,71702.37,62.37,7.21,234.87,1
