Media,Desvio,3oMom,Uniformidade,Entropia,Constraste,Classe
112.34,37.26,86941.95,154.4,6.74,200.78,0
81.08,25.11,21241.59,81.69,6.56,143.18,0
94.14,18.41,-1504.24,152.55,6.22,75.83,0
116.54,50.16,93578.93,79.86,7.46,394.17,0
92.91,15.47,-1511.95,177.65,5.95,73.8,0
122.8,61.34,209198.91,270.94,6.88,156.58,0
101.1,26.63,5624.64,123.57,6.72,223.13,0
101.88,32.19,47862.94,100.32,6.82,181.97,0
145.29,35.42,-13912.58,194.25,7.14,390.23,0
107.49,24.96,4957.75,178.05,6.52,119.8,0
97.58,28.84,27955.96,103.67,6.75,180.75,0
145.93,38.78,28306.78,153.06,7.22,192.72,0
121.38,48.61,77517.88,89.45,7.46,419.52,0
166.24,37.68,-18402.34,220.83,7.24,484.47,0
123.87,55.66,171929.75,221.46,7.03,220.93,0
150.19,39.0,3216.62,168.54,7.28,489.05,0
160.06,26.85,1434.58,330.07,6.67,249.72,0
140.16,47.09,12301.05,129.19,7.5,486.7,0
138.18,68.02,110842.55,388.99,7.1,176.89,0
139.46,37.8,18929.22,148.48,7.21,298.99,0
79.89,45.43,135773.58,44.69,7.15,261.89,1
56.01,35.71,86397.28,25.71,6.72,191.03,1
67.99,66.32,469503.92,79.47,6.55,134.01,1
68.11,31.88,46534.72,41.15,6.81,330.82,1
73.95,38.89,115950.11,47.79,6.87,257.05,1
65.96,29.92,47534.0,43.41,6.6,109.34,1
114.84,58.35,181390.91,136.06,7.33,259.1,1
63.51,45.44,166962.48,26.59,6.88,176.11,1
66.83,45.7,196349.73,34.65,6.86,125.07,1
63.37,37.7,105581.83,35.74,6.68,169.45,1
91.29,69.66,339870.2,105.75,7.12,210.1,1
64.47,30.01,49898.14,44.25,6.61,134.24,1
80.08,30.98,27396.19,61.74,6.89,245.62,1
89.55,44.21,122322.48,56.39,7.1,213.16,1
76.82,58.55,303247.24,60.99,6.99,204.61,1
67.38,58.28,347172.69,45.47,6.59,169.84,1
77.55,35.09,67879.64,51.63,6.89,261.13,1
74.47,39.89,112057.49,42.22,6.95,184.54,1
84.84,69.3,411714.24,126.88,6.94,245.02,1
58.98,34.59,84076.24,30.19,6.67,137.18,1
